,trial_id,hyperparameters,f1,f1_std,precision,precision_std,recall,recall_std
0,0,"{'input_units': 40, 'GRU_2': 60, 'Dense_units_1': 50}",0.9665924,0.0,0.96875,0.0,0.96444446,0.0
1,0,"{'input_units': 40, 'GRU_2': 60, 'Dense_units_1': 50}",0.9555555,0.0055184364,0.9621528,0.006597221,0.96000004,0.00444445
2,0,"{'input_units': 40, 'GRU_2': 60, 'Dense_units_1': 50}",0.9721912,0.006911397,0.96585983,0.0075166486,0.9637037,0.006372095
3,0,"{'input_units': 40, 'GRU_2': 60, 'Dense_units_1': 50}",0.9566184,0.006950844,0.9638158,0.007410066,0.9616667,0.0065499065
4,0,"{'input_units': 40, 'GRU_2': 60, 'Dense_units_1': 50}",0.95991087,0.0063191345,0.9634634,0.0066651427,0.960889,0.006061415
5,1,"{'input_units': 50, 'GRU_2': 40, 'Dense_units_1': 10}",0.8756999,0.0,0.8826185,0.0,0.8688889,0.0
6,1,"{'input_units': 50, 'GRU_2': 40, 'Dense_units_1': 10}",0.9477196,0.036009848,0.91569674,0.033078283,0.9077778,0.03888887
7,1,"{'input_units': 50, 'GRU_2': 40, 'Dense_units_1': 10}",0.9555555,0.03594001,0.92898303,0.03290134,0.9237037,0.038929418
8,1,"{'input_units': 50, 'GRU_2': 40, 'Dense_units_1': 10}",0.9733333,0.037190016,0.9400706,0.03436098,0.9361111,0.039980702
9,1,"{'input_units': 50, 'GRU_2': 40, 'Dense_units_1': 10}",0.9242761,0.033718724,0.93732435,0.031220337,0.9333333,0.036188804
10,2,"{'input_units': 30, 'GRU_2': 10, 'Dense_units_1': 10}",0.6992084,0.0,0.8603896,0.0,0.5888889,0.0
11,2,"{'input_units': 30, 'GRU_2': 10, 'Dense_units_1': 10}",0.80232555,0.051558584,0.8509265,0.009463102,0.67777777,0.08888888
12,2,"{'input_units': 30, 'GRU_2': 10, 'Dense_units_1': 10}",0.8108719,0.05074438,0.84288096,0.013753609,0.717037,0.0913787
13,2,"{'input_units': 30, 'GRU_2': 10, 'Dense_units_1': 10}",0.78071177,0.04415493,0.83406097,0.019371321,0.7266667,0.080874845
14,2,"{'input_units': 30, 'GRU_2': 10, 'Dense_units_1': 10}",0.75417656,0.040225774,0.83013535,0.019022085,0.7217778,0.0729945
15,3,"{'input_units': 60, 'GRU_2': 10, 'Dense_units_1': 30}",0.8866441,0.0,0.89569163,0.0,0.87777776,0.0
16,3,"{'input_units': 60, 'GRU_2': 10, 'Dense_units_1': 30}",0.7912371,0.047703505,0.91870475,0.023013085,0.78,0.097777754
17,3,"{'input_units': 60, 'GRU_2': 10, 'Dense_units_1': 30}",0.79627466,0.043836202,0.89119846,0.043200247,0.7733333,0.080389984
18,3,"{'input_units': 60, 'GRU_2': 10, 'Dense_units_1': 30}",0.77937645,0.042739835,0.8799874,0.042151622,0.7605555,0.0730529
19,3,"{'input_units': 60, 'GRU_2': 10, 'Dense_units_1': 30}",0.8776655,0.046070725,0.88131416,0.03779483,0.78222215,0.07840383
20,4,"{'input_units': 40, 'GRU_2': 10, 'Dense_units_1': 40}",0.8769575,0.0,0.8828829,0.0,0.8711111,0.0
21,4,"{'input_units': 40, 'GRU_2': 10, 'Dense_units_1': 40}",0.72215104,0.07740322,0.8674233,0.015459567,0.74888885,0.122222215
22,4,"{'input_units': 40, 'GRU_2': 10, 'Dense_units_1': 40}",0.5347432,0.13991956,0.8565841,0.019857222,0.6303703,0.19506954
23,4,"{'input_units': 40, 'GRU_2': 10, 'Dense_units_1': 40}",0.6804657,0.1219065,0.8459984,0.025137631,0.61888885,0.17010163
24,4,"{'input_units': 40, 'GRU_2': 10, 'Dense_units_1': 40}",0.8769575,0.12922287,0.8533753,0.026892275,0.66933334,0.18255469
